unitbox	unit	box	fband	Capture	base	stress	dex	year	NumFled
1_101	1	101	272106601	1	2.5	37.4	16.5	2017	5
1_103	1	103	262125490	1	2.1	10.8	15.7	2017	5
1_106	1	106	272107750	1		9.2	11.6	2017	6
1_11	1	11	263114035	1	1.1	32.3	15.1	2017	0
1_114	1	114	272106709	1	10.4	41.0	21.5	2017	2
1_12	1	12	185146883	1	1.9	4.2	8.1	2017	0
1_121	1	121	272106711	1	11.6	31.9	64.4	2017	4
1_131	1	131	232146950	1	4.1	10.4	5.3	2017	0
1_134	1	134	185146896	1	8.3	42.8	9.4	2017	4
1_14	1	14	272107623	1	2.3	27.7	7.4	2017	4
1_17	1	17	212110275	1	4.1	20.2	14.9	2017	3
1_24	1	24	263114087	1	1.2	59.9	8.5	2017	5
1_26	1	26	239159871	1	10.9	21.6	7.8	2017	4
1_28	1	28	272106712	1	2.7	33.3	15.0	2017	3
1_34	1	34	232146988	1	6.1	25.6	20.3	2017	3
1_38	1	38	272106705	1	2.1	33.0	21.9	2017	3
1_41	1	41	262125950	1	6.1	12.6	20.3	2017	4
1_45	1	45	272107746	1	6.0	27.2	28.3	2017	0
1_49	1	49	272106710	1	8.8	41.9	21.2	2017	0
1_58	1	58	272107747	1	5.4	26.5	9.3	2017	0
1_60	1	60	272106702	1	2.7	18.6	7.6	2017	0
1_62	1	62	272106703	1	8.1	32.3	8.0	2017	4
1_70	1	70	272106603	1	2.5	24.0	13.2	2017	4
1_77	1	77	272106614	1	3.9	46.6	14.2	2017	0
1_80	1	80	232146953	1	0.6	17.8	10.5	2017	4
1_83	1	83	272107604	1	7.4	8.6	16.0	2017	0
1_85	1	85	239159842	1	0.3	25.6	6.6	2017	4
1_87	1	87	272106613	1	0.5	13.8	8.7	2017	0
1_89	1	89	272107019	1	5.6	10.3	13.2	2017	5
1_92	1	92	272107748	1	4.3		179.0	2017	3
1_99	1	99	272107753	1	2.8	28.1	17.0	2017	0
2_100	2	100	272106604	1	2.3	39.9	9.3	2017	5
2_104	2	104	272106706	1	10.0	36.8	20.3	2017	3
2_105	2	105	272107743	1	1.4	30.5	20.6	2017	1
2_108	2	108	272107749	1	1.7	13.0	16.1	2017	4
2_110	2	110	272107744	1	1.8	27.6	10.6	2017	4
2_111	2	111	263113715	1	3.3	35.4	10.3	2017	0
2_113	2	113	272107068	1	0.6	42.9	14.0	2017	2
