"unitbox","unit","box","Band","Capture","base","stress","dex","year","NumFled","Clutch_Size","Attempt_Number","Site","Nest","Nest_Experiment","Age","Experiment"
"1_101",1,101,272106601,"1",2.5,37.4,16.5,2017,5,5,1,"tt_1","101","Color","SY","Color"
"1_103",1,103,262125490,"1",2.1,10.8,15.7,2017,5,5,1,"Unit_1","103","Color","ASY","Color"
"1_106",1,106,272107750,"1",NA,9.2,11.6,2017,6,7,1,"Unit_1","106","Color","ASY","Color"
"1_11",1,11,263114035,"1",1.1,32.3,15.1,2017,0,4,1,"Unit_1","11","Color","SY","Color"
"1_114",1,114,272106709,"1",10.4,41,21.5,2017,2,5,1,"Unit_1","114","Color","SY","Color"
"1_12",1,12,185146883,"1",1.9,4.2,8.1,2017,0,7,1,"Unit_1","12","Color","ASY","Color"
"1_121",1,121,272106711,"1",11.6,31.9,64.4,2017,4,5,1,"Unit_1","121","Color","SY","Color"
"1_131",1,131,232146950,"1",4.1,10.4,5.3,2017,0,5,1,"Unit_1","131","Color","ASY","Color"
"1_134",1,134,185146896,"1",8.3,42.8,9.4,2017,4,4,1,"Unit_1","134","Color","ASY","Color"
"1_14",1,14,272107623,"1",2.3,27.7,7.4,2017,4,5,1,"Unit_1","14","Color","SY","Color"
"1_17",1,17,212110275,"1",4.1,20.2,14.9,2017,3,4,1,"Unit_1","17","Color","ASY","Color"
"1_24",1,24,263114087,"1",1.2,59.9,8.5,2017,5,5,1,"Unit_1","24","Color","ASY","Color"
"1_26",1,26,239159871,"1",10.9,21.6,7.8,2017,4,5,1,"Unit_1","26","Color","ASY","Color"
"1_28",1,28,272106712,"1",2.7,33.3,15,2017,3,5,1,"Unit_1","28","Color","SY","Color"
"1_34",1,34,232146988,"1",6.1,25.6,20.3,2017,3,6,1,"Unit_1","34","Color","SY","Color"
"1_38",1,38,272106705,"1",2.1,33,21.9,2017,3,5,1,"Unit_1","38","Color","SY","Color"
"1_41",1,41,262125950,"1",6.1,12.6,20.3,2017,4,6,1,"Unit_1","41","Color","ASY","Color"
"1_45",1,45,272107746,"1",6,27.2,28.3,2017,0,6,1,"Unit_1","45","Color","ASY","Color"
"1_49",1,49,272106710,"1",8.8,41.9,21.2,2017,0,5,1,"Unit_1","49","Color","SY","Color"
"1_58",1,58,272107747,"1",5.4,26.5,9.3,2017,0,5,1,"Unit_1","58","Color","SY","Color"
"1_60",1,60,272106702,"1",2.7,18.6,7.6,2017,0,6,1,"Unit_1","60","Color","ASY","Color"
"1_62",1,62,272106703,"1",8.1,32.3,8,2017,4,5,1,"Unit_1","62","Color","SY","Color"
"1_70",1,70,272106603,"1",2.5,24,13.2,2017,4,5,1,"Unit_1","70","Color","SY","Color"
"1_77",1,77,272106614,"1",3.9,46.6,14.2,2017,0,6,1,"Unit_1","77","Color","SY","Color"
"1_80",1,80,232146953,"1",0.6,17.8,10.5,2017,4,5,1,"Unit_1","80","Color","ASY","Color"
"1_83",1,83,272107604,"1",7.4,8.6,16,2017,0,6,1,"Unit_1","83","Color","SY","Color"
"1_85",1,85,239159842,"1",0.3,25.6,6.6,2017,4,6,1,"Unit_1","85","Color","ASY","Color"
"1_87",1,87,272106613,"1",0.5,13.8,8.7,2017,0,6,1,"Unit_1","87","Color","SY","Color"
