SampleID	CRHn87	CRHn86	CRHn85	CRHn84	CRHn83	CRHn82	CRHn81	CRHn80	CRHn79	CRHn78	CRHn77	CRHn76	FKBP103	FKBP104	FKBP105	FKBP106	FKBP107	FKBP108	FKBP109	FKBP110	FKBP111	FKBP112	FKBP113	CRHR107	CRHR108	CRHR109	CRHR110	CRHR111	CRHR112	CRHR113	CRHR114	CRHR115	CRHR116	CRHR117	CRHR118	CRHR119	CRHR120	CRHR121	CRHR122	CRHR123	CRHR124	CRHR125	GRn18	GRn17	GRn16	GRn15	GRn14	GRn13	GRn12	GRn11	GRn10	GRn9	GRn8	GRn7	GRn6	GRn5
180127	4.1	12.2	27.2	4.5	22.5	18.9	30.4	13.6	16.2	35.7	15.6	14.6	64.7	88.6	61.3	57.6	88.5	75.2	87.2	75.6	52.7	57.3	64.4	5.5	6.8	14.5	19.0	7.6	3.2	1.9	10.7	11.7	6.2	13.0	0.6	7.1	10.1	13.8	7.7	15.5	8.6	7.5	50.0	58.1		6.3		32.4	17.3	14.3	57.4	61.1	65.5	39.0	78.8	36.3
180129	1.4	16.8	19.0	6.6	16.1	16.0	31.7	12.8	10.4	26.6	5.6	13.3	65.5	84.3	54.3	50.7	78.3	64.6	81.6	68.1	53.7	60.3	65.7	4.3	5.2	10.7	18.1	4.8	0.8	3.4	10.0	3.3	7.2	13.6	3.5	8.4	7.2	20.3	13.2	15.9	11.4	12.2	63.9	60.2		8.7	8.4	50.1	27.7	23.9	66.9	63.2	71.4	76.1	75.5	35.0
180197	0.7	17.4	23.6	6.8	19.8	14.8	23.6	17.8	13.9	31.7	10.9	11.4	58.6	81.1	58.2	64.4	75.0	54.3	79.6	66.0	52.7	62.2	60.9	0.8	4.7	8.4	3.9	1.5	0.8	0.8	4.1	0.0	0.8	7.1	0.0	6.5	9.9	4.6	2.7	5.3	3.5	1.8	40.9	44.9	13.3	9.8	6.0	48.1	19.8	18.8	60.9	62.5	73.1	33.2	74.1	27.8
180236	1.6	12.1	20.1	6.3	18.1	16.6	31.2	13.9	11.1	32.8	11.4	15.5	54.2	79.8	50.6	58.4	78.1	40.3	77.1	63.0	46.8	56.1	51.0	2.0	3.5	6.0	9.1	3.6	1.8	1.8	9.1	2.5	4.6	5.9	0.7	6.3	5.2	13.8	5.8	6.6	5.3	8.3	39.4	47.2		7.8	4.0	32.4	13.7	12.1	52.4	54.8	62.1	67.7	69.8	29.4
180237	1.9	14.2	20.7	4.7	16.3	15.7	21.5	8.8	12.0	22.3	8.6	9.5	78.4	89.9	71.6	73.8	85.7	80.3	92.5	81.3	71.8	71.3	57.9	1.8	3.4	6.8	13.2	2.8	1.8	2.4	9.0	3.8	3.8	7.6	0.5	10.1	6.8	21.2	4.2	8.9	5.4	10.0	31.6	41.7	7.9	1.6	3.8	28.3	12.0	10.0	56.3	55.6	66.1	71.6	71.2	29.4
180238	1.9	12.8	21.1	5.5	16.2	12.4	27.1	13.5	12.9	28.3	10.4	14.3	61.0	77.2	63.4	53.5	72.2	66.7	70.5	63.6	43.6	50.4	53.0	4.5	6.3	11.0	12.8	7.2	2.8	0.9	9.9	3.3	3.7	7.4	3.2	6.8	7.4	11.5	6.2	7.9	4.2	6.0						39.0	12.5	12.5	51.7	49.6	60.2	30.0	68.0	21.8
180266	3.2	10.3	21.9	4.0	19.0	17.1	26.7	8.6	11.5	28.3	8.9	10.2	74.2	81.4	65.3	57.7	78.6	36.2	74.3	72.6	50.0	56.6	46.7	4.5	7.1	15.3	18.3	9.3	6.0	2.1	15.0	9.1	14.0	16.0	8.3	11.5	18.0	24.2	11.1	11.0	12.0	12.0	62.9	57.4	26.3	9.9	8.1	54.3	25.0	24.8	65.8	65.5	72.3	75.6	77.9	37.7
180418	2.9	14.4	21.2	4.9	17.0	14.5	31.0	10.1	13.2	31.2	13.4	15.8	63.4	79.7	64.4	50.8	79.1	62.6	30.6	72.7	51.0	58.5	61.9	0.0	4.3	6.4	12.3	5.8	3.0	0.8	11.9	5.1	5.0	10.0	1.4	12.3	8.5	16.9	7.4	14.8	5.9	8.8	38.6	51.8		8.9	2.4	40.1	14.9	13.2	61.2	56.4	72.4	30.1	68.2	24.3
180438	1.0	13.2	17.7	4.7	16.3	15.2	22.4	10.9	10.2	28.1	6.9	12.1	60.1	83.1	58.0	55.3	78.6	40.0	85.6	73.6	56.5	67.2	68.3	3.7	4.2	4.1	7.9	2.8	2.8	1.1	7.6	4.0	4.0	6.8	2.9	10.6	9.5	17.9	5.1	6.5	4.1	6.9	33.9	53.4	19.4	10.1	5.0	54.1	25.6	24.9	66.6	62.8	71.5	71.2	73.5	32.9
180635	1.0	13.5	23.5	7.2	19.7	21.4	29.3	12.8	12.5	29.2	10.4	13.3	59.1	68.8	50.4	45.1	58.0	43.8	53.8	49.2	35.5	25.5	26.3	2.2	8.5	13.2	11.9	7.7	0.8	2.4	10.5	7.9	5.7	13.2	2.6	8.0	9.4	21.2	9.5	9.7	7.5	10.4	46.7	44.2	10.7	12.0	3.5	47.7	19.1	21.1	61.2	60.3	70.0	34.5	69.4	24.3
180667	1.8	17.0	23.3	6.0	21.5	19.7	31.1	16.5	14.6	32.3	12.6	13.9	78.3	91.9	76.2	78.1	92.1	88.0	93.3	86.9	71.1	69.6	68.2	3.1	5.3	4.8	6.2	4.3	3.2	2.2	6.1	3.1	5.2	7.8	1.5	5.7	7.9	15.4	5.3	5.4	2.1	3.7	45.9	53.1	21.3	6.7	3.5	52.3	17.8	18.9	63.5	58.8	70.0	36.2	72.4	29.0
180669	0.7	12.8	23.2	4.5	20.5	19.1	29.5	13.1	16.0	34.1	11.8	13.6	73.7	93.9	75.3	83.3	90.4	84.1	93.4	89.4	77.8	79.3	80.3	4.3	1.3	5.6	8.5	1.7	2.3	1.2	7.7	4.3	4.8	5.6	0.0	4.5	10.4	13.8	8.0	12.4	10.0	6.0	41.3	42.6	19.1	4.2	3.8	48.6	18.5	19.5	61.1	60.1	66.6	66.4	69.8	25.0
180670	3.7	12.4	22.7	6.8	15.9	18.4	30.0	13.9	14.7	35.1	15.3	14.8	66.0	77.8	65.7	57.3	70.2	58.4	69.1	59.1	51.9	56.4	60.0	0.0	4.2	7.7	7.7	1.8	0.0	2.0	8.8	5.2	5.1	10.3	1.7	10.2	11.5	17.9	3.2	10.0	1.7	4.9	34.1	47.7			10.5	45.5	17.8	14.7	57.7	59.4	67.2	35.3	70.9	29.9
180672	1.2	10.3	18.0	5.1	16.0	17.5	25.1	11.7	14.2	32.9	10.8	13.1	36.7	49.2	37.1	39.7	46.9	34.8	54.5	33.8	23.5	36.4	33.8	0.0	5.9	0.0	2.9	2.8	0.0	2.6	2.2	2.2	0.0	4.3	4.3	8.9	10.6	12.5	6.3	6.0	6.0	2.0						47.2	21.9	21.6	58.9	65.6	70.0	43.2	75.5	26.9
180681	0.9	19.4	19.9	1.5	10.6	19.3	25.8	10.9	5.2	22.1	6.7	6.3	65.1	83.8	71.9	73.3	84.5	80.7	87.6	75.9	71.3	73.2	78.6	3.1	7.5	5.6	8.5	2.8	1.5	1.5	12.2	1.3	4.1	5.6	1.4	9.6	13.9	12.7	1.4	20.8	9.9	7.0						35.5	8.2	11.0	59.6	48.7	74.6	26.3	69.5	28.1
180686	2.0	19.6	16.9	8.1	19.5	18.9	28.6	16.1	16.6	34.1	11.6	16.6	54.5	80.3	50.0	46.3	67.6	57.1	80.6	69.4	56.9	67.6	69.4	7.1	5.5	14.0	23.6	9.1	3.6	3.9	13.6	6.6	10.2	16.7	8.3	10.3	11.9	23.6	6.8	11.9	8.5	6.9	50.5	52.8	14.3	6.5	1.1	53.4	25.0	23.7	72.3	67.1	70.1	0.2	76.2	28.2
180688	5.3	21.0	39.0	10.9	32.1	31.4	45.4	22.8	29.3	53.3	28.2	30.5	75.2	89.0	72.0	74.5	86.4	72.0	88.4	69.2	64.1	67.3	59.1	3.0	5.1	4.8	9.5	2.6	1.4	1.3	10.3	5.8	3.9	16.2	3.8	11.3	5.0	15.0	7.8	13.9	5.2	11.5	35.2	56.2		2.8	3.2	36.0	11.7	13.4	57.6	59.8	69.4	37.8	75.2	33.6
180692	3.4	15.8	25.4	9.2	23.8	22.5	35.4	17.4	16.1	31.9	14.4	12.8	61.7	79.2	54.0	42.9	71.7	57.4	80.7	78.9	53.4	66.7	64.4	0.0	0.0			3.2	0.0	6.3	12.5	0.0	0.0	3.1	0.0	6.1	6.3	18.8	3.1	3.0	3.0	6.1	43.5	33.8			0.0	46.9	20.5	19.0	55.0	59.2	67.6	63.5	71.6	24.1
180696	2.2	22.0	34.1	9.2	29.5	29.4	43.2	23.7	27.3	49.0	25.0	23.1	79.3	89.7	58.6	57.6	93.2	69.8	82.3	74.2	52.5	61.3	56.5	2.4	15.0	11.9	11.6	6.8	7.1	2.4	6.8	2.3	2.2	20.0	6.8	20.5	24.4	34.9	24.4	35.4	6.4	17.0	30.8	41.5	24.1	7.0	5.4	43.3	16.3	14.9	57.7	53.9	65.6	65.4	67.2	24.1
180697	3.9	20.3	29.0	9.7	20.9	25.2	31.6	15.9	18.6	32.5	14.4	14.7	80.7	89.5	80.5	84.6	90.7	81.0	89.0	82.4	72.5	67.2	67.5	2.3	9.0	14.1	15.8	7.3	3.4	2.1	12.7	3.8	1.0	10.4	1.0	3.7	4.6	12.4	1.9	10.1	4.6	6.4	40.0	49.5	13.8	0.0	2.1	20.8	2.7	6.5	48.5	49.6	62.7	66.4	67.4	28.0
180701	2.0	17.9	28.8	9.3	26.0	23.0	37.0	19.4	19.9	39.1	14.4	14.3	79.9	95.7	72.0	77.5	86.3	76.6	89.0	81.6	62.5	78.5	77.9	4.1	2.4	11.2	15.4	5.8	2.9	1.5	9.4	5.7	5.7	11.6	4.0	10.1	12.9	26.7	14.1	15.2	11.7	16.5	56.3	53.1		1.2	3.8	44.6	21.9	21.4	62.7	62.9	72.7	77.6	78.3	38.6
180703	1.3	11.1	15.5	5.0	15.3	14.9	23.0	10.5	9.9	23.7	7.7	7.1	70.3	88.6	71.8	74.1	84.6	81.5	89.7	78.7	62.0	68.9	71.4	1.1	4.0	4.0	10.8	4.9	2.0	2.0	6.3	4.4	3.4	7.5	0.8	7.1	7.8	8.6	3.8	6.8	4.5	7.5	43.2	48.7	6.5	5.0	1.9	48.5	17.7	19.4	61.0	60.9	67.1	35.7	74.0	31.8
180714	2.0	13.2	20.5	4.0	18.2	17.9	27.0	12.3	14.8	35.0	11.4	16.5	56.9	91.2	52.9	61.8	78.3	69.6	95.6	73.9	60.9	61.8	76.8	0.0	1.6	7.6	20.0	0.0	1.6	0.0	17.5	3.2	7.8	9.4	3.0	12.9	12.3	28.8	16.7	18.5	6.2	10.9	31.7	39.1	22.2	6.3	8.2	48.3	17.2	19.4	63.5	62.4	66.5	68.4	69.3	27.8
180715	1.9	8.4	12.8	5.3	12.0	15.8	21.1	7.7	7.3	20.9	7.3	10.5	46.7	75.0	46.8	50.3	70.5	52.9	75.4	57.7	39.9	51.7	37.9	3.4	5.3	6.3	3.8	0.6	0.6	1.3	5.7	2.5	3.7	10.1	1.2	3.7	6.7	11.4	4.3	9.6	3.6	10.3	23.7	48.7	15.6	5.7	8.3	50.0	25.8	20.8	57.2	58.2	72.9	0.4	80.4	34.7
180720	2.3	13.6	19.2	6.7	19.7	20.6	26.6	12.1	15.6	36.3	12.9	16.9	62.4	81.2	47.7	51.2	80.2	64.8	89.9	68.6	59.5	58.1	51.2	7.8	3.9	7.3	7.5	3.8	0.0	0.0	7.8	2.0	3.8	9.6	0.0	3.8	16.7	8.0	3.7	5.5	3.6	5.4	23.3	38.2	19.5	6.9	3.6	49.7	17.3	17.4	60.0	61.9	67.3	33.0	71.2	25.7
180722	1.7	9.3	18.9	4.8	19.1	14.6	22.6	10.4	11.7	26.7	7.4	12.8	68.3	91.9	68.4	65.9	79.4	74.4	74.8	68.5	56.3	58.7	50.0	2.8	1.4	4.2	8.2	1.4	2.8	2.8	7.9	3.9	5.1	6.0	0.0	7.0	6.8	10.2	4.4	8.7	3.3	5.4						56.1	17.6	24.2	64.3	62.4	67.6	35.0	76.7	28.8
180724	1.3	14.6	20.2	6.2	21.3	18.7	27.8	9.9	16.0	29.4	10.6	10.5	73.3	83.0	64.5	54.8	74.4	63.7	72.4	60.5	42.5	51.1	59.6	1.5	5.9	10.0	10.1	4.2	2.9	2.7	14.3	4.2	4.2	11.0	2.7	6.6	5.2	10.4	6.6	6.7	2.7	9.5	45.3	64.8	25.0	10.0	6.0	54.5	24.2	27.3	69.4	68.4	77.5	42.4	75.2	31.2
180727	1.8	10.7	19.6	7.1	13.3	17.2	24.2	10.9	11.6	25.8	6.8	9.6	77.4	88.8	71.5	78.1	85.1	47.1	79.1	73.7	48.0	56.3	48.6	4.7	10.8	4.6	12.5	1.5	1.5	0.0	7.6	4.4	4.5	7.6	4.6	6.2	4.5	14.3	7.7	3.0	9.1	1.5	20.8	41.4	16.3	2.4	2.0	46.0	18.1	15.8	52.6	56.8	66.2	34.5	70.5	28.0
180730	1.9	16.5	27.7	9.4	29.7	23.0	40.4	18.6	22.2	41.2	15.9	13.7	72.4	96.1	90.9	88.5	89.7	52.5	94.9	87.0	82.9	78.9	81.1	0.0	0.0	6.7	9.7	12.9	0.0		9.7	3.1	12.5	12.5	3.0	14.3	11.8	12.5	2.9	12.9	6.5	15.2	41.1	45.6	20.1	5.9	4.7	45.9	18.8	19.0	53.0	52.1	60.6	36.1	65.5	27.8
180732	1.5	12.5	19.5	6.6	17.9	14.9	27.2	11.7	11.8	30.1	10.1	13.1	56.4	85.6	63.6	55.2	77.5	67.8	87.3	77.5	63.4	70.5	77.1	2.1	6.0	1.3	5.3	4.0	0.7	1.5	4.7	4.7	1.3	1.9	1.3	7.9	3.2	13.2	5.1	10.8	2.5	7.0	28.1	51.5	25.0	11.4	3.2							38.9	76.7	37.7
180747	2.2	23.0	22.6	4.7	22.5	22.4	37.1	16.3	15.7	37.0	12.5	16.1	69.1	83.3	61.7	51.7	71.5	42.6	81.3	69.5	62.4	72.7	69.4	2.8	3.4	14.5	16.3	2.7	2.1	2.8	14.2	2.8	8.5	13.4	1.4	12.7	9.1	24.5	10.0	9.3	6.0	14.0	49.5	47.6	15.2	8.2	6.3	52.1	17.1	16.7	70.1	63.1	68.8	39.5	72.1	32.4
180770	1.0	11.4	19.8	6.1	15.8	16.3	23.3	13.4	11.8	30.5	9.2	10.4	55.4	75.6	41.2	47.6	67.5	51.8	77.6	54.8	26.7	45.2	39.8	3.8	3.8	7.2	9.5	7.1	3.4	3.6	5.5	7.6	5.3	10.2	2.0	8.8	6.9	12.4	13.5	19.0	3.8	7.8	20.4	53.4	27.2	10.8	1.0	46.7	18.4	16.6	63.2	60.7	69.3	75.6	74.8	35.8
180773	1.5	14.1	22.1	6.6	22.9	20.6	29.3	13.5	14.4	32.1	12.2	13.5	68.8	91.3	69.3	71.2	77.6	62.6	80.5	68.2	51.1	49.4	60.0	4.3	8.4	13.8	21.3	8.1	4.1	1.6	16.4	10.2	10.0	17.8	5.5	10.7	14.4	26.0	10.4	14.2	5.2	7.4	28.3	36.9		3.5	1.7	25.1	8.6	8.8	53.6	52.0	60.4	63.6	65.8	23.3
180789	2.2	10.4	17.3	3.9	11.1	13.1	21.5	10.8	13.6	25.7	12.3	14.4	57.4	77.3	59.1	50.9	65.5	53.1	64.9	46.0	27.4	43.0	40.5	1.4	1.4	2.8	10.1	8.5	6.1	4.8	7.1	4.2	1.4	13.9	2.7	8.2	8.2	23.0	4.0	6.7	9.2	6.5	45.7	58.0		9.3	0.0	41.8	16.1	20.5	61.3	58.9	69.5	71.6	72.6	31.7
180790	1.8	14.4	20.8	4.7	20.2	19.2	27.2	11.8	13.8	32.1	12.3	14.7	59.4	85.5	57.9	51.4	81.4	39.7	81.3	73.9	59.8	63.1	65.9	1.2	1.2	3.3	6.5	5.4	2.1	0.0	4.0	3.0	2.0	5.0	1.9	8.4	11.4	13.6	6.5	7.5	6.6	11.3	43.0	45.3	14.9	5.1	3.8	39.2	20.9	17.0	70.2	68.5	70.6	34.9	71.8	27.6
180818	0.2	18.1	15.4	4.4	12.0	16.4	23.5	11.3	8.5	22.7	7.5	8.8	72.5	90.3	67.9	79.4	84.9	83.3	92.9	85.4	72.8	79.2	72.9	5.7	9.0	14.1	17.3	5.6	3.1	2.2	13.6	5.4	5.9	12.0	3.4	8.5	11.5	26.8	10.8	14.2	11.7	12.5	15.0	44.3	26.7	4.8	1.6	45.0	14.6	19.7	56.9	53.3	73.0	68.8	69.4	25.8
