Band	b.bright	Age	Sample	Treat1	Treat2	Treatment	Customer ID	CPG01	CPG02	CPG03	CPG04	CPG05	CPG06	CPG07	CPG08	CPG09	CPG10	CPG11	CPG12	CPG13	CPG14	CPG15	CPG16	CPG17	CPG18	CPG19	CPG20	CPG21	CPG22	CPG23	CPG24	CPG25	CPG26	CPG27	CPG28	CPG29	CPG30	CPG31	CPG32	CPG33	CPG34	CPG35	CPG36	CPG37	CPG38	CPG39	CPG40	CPG41	CPG42	CPG43	CPG44	CPG45	CPG46	CPG47	CPG48	CPG49	CPG50	CPG51	CPG52	CPG53	CPG54	CPG55	CPG56	CPG57	CPG58	CPG59	CPG60	CPG61	CPG62	CPG63	CPG64	CPG65	CPG66	CPG67	base1	stress1	dex1	base2	base3	stress3	dex3
272107699	39.95721463	SY	180127	Control	Stress	Control_Stress	180127	62.7	43.3	54.7	42.6	38.6	47.6	41.5	63.2	92.4	8.8	31.4	0.0	74.5	60.2	36.2	50.2	33.4	47.8	57.1	78.1	48.7	0.0	5.7	9.0	14.1	17.3	5.6	3.1	2.2	13.6	5.4	5.9	12.0	3.4	8.5	11.5	26.8	10.8	14.2	11.7	12.5	68.4	52.0	69.3	70.1	46.2	41.8	35.7	5.6	50.0	80.9	44.0	52.9	78.8	81.3	57.6	47.3	64.5	55.2	59.3	0.0	69.2	69.0	57.5	0.6	72.4	82.7	0.738	33.159	19.777	1.317	1.463	28.705	16.782
156181156	31.04356271	ASY	180129	Dull	Control	Dull_Control	180129	65.1	37.8	52.8	44.2	36.1	47.2	42.7	65.1	93.6	3.2	21.9	0.1	72.8	56.3	41.7	49.8	30.8	44.1	55.2	69.8	18.2	0.0	1.2	1.2	3.3	6.5	5.4	2.1	0.0	4.0	3.0	2.0	5.0	1.9	8.4	11.4	13.6	6.5	7.5	6.6	11.3	75.9	59.8	75.3	77.0	59.1	40.4	40.1	12.6	48.6	78.8	42.3	53.5	85.6	80.8	67.3	74.5	64.1	55.4	57.4	0.2	69.8	71.5	15.5	0.2	73.4	65.6	1.43	18.648	11.335	5.098	3.715	27.167	12.824
272107794	40.0785791	SY	180197	Control	Control	Control_Control	180197	61.5	42.6	62.6	48.9	33.2	56.8	51.8	65.8	92.5			0.4	69.5	60.1	37.2		35.1	57.9	59.4	75.1	34.8	0.0	1.4	1.4	2.8	10.1	8.5	6.1	4.8	7.1	4.2	1.4	13.9	2.7	8.2	8.2	23.0	4.0	6.7	9.2	6.5						48.7	45.5	26.8	45.7	81.5	45.2	60.4	82.9	74.3	71.4	15.8	52.6	58.4	50.0	0.0	67.7	70.5	58.5	0.7	73.0	72.2	1.282	20.037	12.502	1.482	2.557	12.902	10.623
272106823	35.75772879	SY	180236	Dull	Stress	Dull_Stress	180236	65.1	46.0	63.0	52.6	40.8	46.2	37.3	66.8	92.2	6.3	37.5	0.2	74.4	62.1	44.3	27.1	33.9	43.5	55.3	76.0	44.8	0.0	4.3	8.4	13.8	21.3	8.1	4.1	1.6	16.4	10.2	10.0	17.8	5.5	10.7	14.4	26.0	10.4	14.2	5.2	7.4	1.2	45.3	73.3	5.0	49.2	47.4	36.7	5.1	50.8	80.5	57.6	57.6	79.4	72.4	58.0	71.3	63.0	56.5	56.2	0.0	70.6	72.4	23.8	0.3	75.2	64.3	0.47	21.249	7.72	1.32	3.28	9.444	6.944
272107698	34.56231326	SY	180237	Dull	Stress	Dull_Stress	180237	62.9	30.0	62.7	54.6	37.9	65.2	59.4	69.7	91.0	3.2	29.0	0.0	72.9	57.8	37.6	50.0	34.5	54.5	57.1	76.4	47.3	0.0	3.8	3.8	7.2	9.5	7.1	3.4	3.6	5.5	7.6	5.3	10.2	2.0	8.8	6.9	12.4	13.5	19.0	3.8	7.8	80.8	57.8	75.4	69.8	57.2	53.2	62.1	39.3	46.0	83.2	45.7	57.0	80.6	82.5	80.0	76.6	71.2	56.5	56.9	0.0	71.4	74.6	45.7	1.3	75.6	68.2	0.991	29.824	13.066	1.959	1.418	31.006	12.68
272107779	31.3345665	ASY	180238	Dull	Control	Dull_Control	180238	61.2	40.1	56.1	45.8	33.3	51.1	45.2	67.6	91.6	7.1	26.7	0.0	69.2	63.3	40.4	43.4	39.2	61.4	58.3	80.6	43.8	0.8	2.8	3.4	14.5	16.3	2.7	2.1	2.8	14.2	2.8	8.5	13.4	1.4	12.7	9.1	24.5	10.0	9.3	6.0	14.0	74.7	58.9	78.2	76.7	65.7	49.5	42.4	15.7	38.7	77.1	45.6	57.7	79.0	85.5	67.7	70.0	61.7	57.1	54.7	0.0	70.5	67.4	49.0	0.4	76.1	69.1	0.383	17.891	12.984	1.849	6.476	20.574	13.146
272106728	51.0367183	SY	180266	Control	Control	Control_Control	180266	55.7	39.1	51.4	41.1	31.3	46.5	37.2	68.0	93.2	2.6	27.8	0.0	71.4	57.6	37.0	56.9	34.0	50.0	49.3	75.2	43.0	0.0	2.1	6.0	1.3	5.3	4.0	0.7	1.5	4.7	4.7	1.3	1.9	1.3	7.9	3.2	13.2	5.1	10.8	2.5	7.0	77.5	58.9	79.8	71.9	52.8	46.2	51.4	19.4	40.9	74.4	39.9	55.2						54.4	57.6	0.0	65.5	67.2	54.3	0.0	72.3	66.4	0.276	14.52	5.956	1.78	0.361	16.647	6.559
272106795	56.08571891	SY	180418	Dull	Stress	Dull_Stress	180418	62.8	36.6	57.2	46.3	42.5	33.2	27.1	64.9	91.0			0.0	71.8	63.2	39.1	22.5	32.7		62.2	76.1	20.3		0.0	0.0	6.7	9.7	12.9	0.0		9.7	3.1	12.5	12.5	3.0	14.3	11.8	12.5	2.9	12.9	6.5	15.2	77.0	56.5	79.5	71.7	54.4	43.8	41.6	13.0	40.5	82.3	48.5	61.9	80.0	78.1	72.3	35.0	69.5	55.6	53.8	0.0	68.4	70.8	0.0	0.0	70.6	67.2	2.245	29.963	9.719	2.933	7.163	55.098	20.49
272107814	52.68061408	SY	180438	Control	Stress	Control_Stress	180438	61.6	36.0	55.9	43.7	26.8	34.5	27.5	64.1	92.2			0.0	69.5	60.4	41.7	63.4	34.8	52.9	44.8	70.0	38.8	0.0	4.7	10.8	4.6	12.5	1.5	1.5	0.0	7.6	4.4	4.5	7.6	4.6	6.2	4.5	14.3	7.7	3.0	9.1	1.5						48.5	43.4	12.8	44.3	83.2	49.6	52.0						54.2	49.0	0.0	64.1	68.0	54.5	0.0	79.1	69.8	2.226	20.526	13.516	2.776	0.552	20.007	10.752
263113706	44.22399785	ASY	180635	Dull	Stress	Dull_Stress	180635	58.1	30.5	55.5	47.2	36.7	53.8	47.1	63.6	92.3			0.6	73.3	58.5	39.1	57.5	27.9		41.4	83.2	40.7	1.7	1.5	5.9	10.0	10.1	4.2	2.9	2.7	14.3	4.2	4.2	11.0	2.7	6.6	5.2	10.4	6.6	6.7	2.7	9.5	66.7	43.4	69.1	71.6	53.4	35.9	30.0	3.9	46.7	86.4	50.0	54.8						59.2	52.2	0.0	65.3	68.2	50.8	0.0	79.6	78.6	3.419	51.102	16.187	0.476	1.024	8.526	8.855
