SampleID	BibB1	Band	Year	Capture	Treatment	CRHn87	CRHn86	CRHn85	CRHn84	CRHn83	CRHn82	CRHn81	CRHn80	CRHn79	CRHn78	CRHn77	CRHn76	FKBP103	FKBP104	FKBP105	FKBP106	FKBP107	FKBP108	FKBP109	FKBP110	FKBP111	FKBP112	FKBP113	CRHR107	CRHR108	CRHR109	CRHR110	CRHR111	CRHR112	CRHR113	CRHR114	CRHR115	CRHR116	CRHR117	CRHR118	CRHR119	CRHR120	CRHR121	CRHR122	CRHR123	CRHR124	CRHR125	GRn18	GRn17	GRn16	GRn15	GRn14	GRn13	GRn12	GRn11	GRn10	GRn9	GRn8	GRn7	GRn6	GRn5
170304	33.33	272107016	2017	1	Dulled	14.4	27.7	6.2	27.9	22.2	35.6	20.7	23.7	33.7	16.3	16.2	24.4	71.94	88.81	72.9	84.77	90.37	87.29	78.64	75.37	78.44	76.86	71.91	5.26	10.67	21.14	23.29	11.55	7.99	3.81	18.44	11.93	9.99	19.28	9.23	18.25	13.53	30.02	14.03	18.46	13.25	15.44	36.87	43.41	14.56	5.41	1.87	38.65	18.11	16.04	55.08	49.51	47.69	1.45	60.05	27.74
170305	48.23	263113706	2017	1	Control	18.4	26.2	4.9	22.1	25.7	30.3	19.1	20.1	29.6	14.6	16.6	23.2	51.83	66.47	48.24	44.04	56.68	45.69	49.26	38.53	30.34	25.68	27.01	2.37	6.04	15.16	16.04	7.78	3.39	2.68	11.11	5.28	7.38	13.19	6.8	13.24	12.8	20.17	11.62	14.54	6.61	12.64	45.69	46.98	9.67	9.72	2.67	43.37	24.93	21.4	60.33	52.13	46.99	30.79	57.51	28.35
170306	31.65	272106601	2017	1	Dulled	16.1	18.1	5.5	13.7	13.9	23.9	14.4	14.3	24.5	14.6	15.9	22.4	73.73	81.58	64.64	71.26	77.25	71.24	62.93	55.7	49.77	50.86	52.05	2.03	6.09	8.14	10.66	6.09	3.7	2.77	9.45	5.62	5.01	9.98	4.04	10.68	10.6	19.51	8.43	11.51	6.04	7.46	39.89	45.46	6.57	3.79	1.46	29.18	15.07	11.88	51.24	42.06	36.01	53.89	60.01	25.89
170307	51.02	262125983	2017	1	Dulled	19.6	19.4	1.6	14.6	17.0	22.6	15.7	13.7	24.5	11.0	15.2	13.9	69.5	83.64	65.57	74.98	84.68	83.32	39.72	66.69	64.38	73.33	74.36	2.89	5.1	9.8	10.22	3.4	4.04	2.63	7.08	5.07	3.35	9.22	4.71	7.19	8.46	20.61	11.98	11.14	7.84	7.46	52.68	56.62	11.87	12.48	3.59	41.63	17.48	19.62	55.58	51.17	38.62	64.02	70.06	39.21
170308	46.15	272106602	2017	1	Control	13.5	21.9	4.2	15.5	15.9	25.9	14.1	15.7	24.5	14.7	14.2	20.4	65.68	84.1	61.81	71.9	84.04	75.47	71.33	59.23	56.87	53.52	54.57	4.59	7.69	11.72	15.1	8.6	4.85	3.18	14.9	8.23	8.13	13.9	4.69	12.06	9.02	17.84	7.96	11.68	6.1	9.61	48.75	48.25	2.48	5.01	2.4	40.98	22.04	9.07	57.58	31.36	19.29	54.98	56.34	30.26
170310	51.72	263113714	2017	1	Control	10.3	16.9	2.2	13.3	15.0	23.6	14.6	14.5	22.7	10.3	11.5	16.3	66.76	79.27	59.59	59.78	78.74	57.3	70.41	56.69	60.67	54.88	47.96	3.23	5.73	10.46	10.92	4.19	4.38	2.72	9.35	4.61	4.5	9.42	3.65	8.95	8.93	18.96	13.34	7.47	7.08	8.6	49.06	50.27	9.31	5.79	1.9	40.59	19.73	16.98	57.66	48.34	46.74	61.16	67.42	31.86
170311	56.11	263114002	2017	1	Dulled	10.6	14.2	5.2	12.9	13.0	24.4	10.5	12.5	18.2	9.1	14.8	18.3	67.43	82.65	61.04	61.25	82.03	75.48	79.58	66.52	69.32	72.12	70.45	1.77	2.83	6.68	12.26	4.72	3.25	2.1	8.33	4.63	5.09	9.79	2.61	6.53	7.27	14.1	7.22	11.74	6.74	8.21	37.19	39.51	1.97	4.13	0	27.81	15.24	11.37	50.15	43.2	41.17	33.26	65.71	38.22
170312	49.52	272106603	2017	1	Dulled	18.0	25.1	6.8	17.6	18.5	28.8	13.2	11.8	28.1	12.6	12.6	18.3	57.69	81.52	51.74	55.77	77.77	57.71	70.66	54.04	51.94	51.3	47.02	2.18	8.05	10.19	13.89	5.82	2.7	1.69	11.14	5.08	5.92	12.03	5.94	9.41	8.42						25.23	58.89	31.73	13.48	3.72	45.92	21.31	16.46	59.11	50.77	47.05	62.07	73.27	34.53
170314	25.41	239159842	2017	1	Control	10.5	25.5	5.6	21.0	17.6	30.8	20.2	17.2	29.6	16.6	20.9	23.3	72.15	82.69	67.35	64.37	83.65	73.82	76.63	67.39	70.75	70.58	64.65	2.28	6.23	4.33	6.7	2.76	1.71	0.84	5.69	3.14	2.54	9.97	2.74	11.17	7.61	13.52	6.04	10.44	6.14	10.44						37.35	16.87	16.88	54.39	45.07	37.35	29.94	58.29	27.12
170315	48.12	272107623	2017	1	Control	9.6	14.6	2.6	11.9	12.9	23.3	9.3	10.5	18.3	8.2	8.9	15.9	65.04	80.15	61.29	65.13	83.93	64.4	68.64	58.82	56.75	52.88	50.96	1.61	2.55	5.95	10.77	3.87	2.06	1.32	7.68	2.75	3.63	8.47	3.74	6.27	5.31	14.29	5.41	8.73	5.04	3.35	44.85	47.18	9.36	6.93	1.58	30.56	23.67	16.62	57.64	22.86	37.01	31.17	64.8	29.97
