Assay	CpGs	Start	End	Start1	End1
ADS5916	1	-216	-216	1	1
ADS5917	3	-213	-211	2	4
ADS5918	2	-207	-206	5	6
ADS5920	2	-199	-198	7	8
ADS5921	2	-193	-192	9	10
ADS5922	3	-190	-188	11	13
ADS5923	1	-182	-182	14	14
ADS5924	2	-181	-180	15	16
ADS5925	1	-172	-172	17	17
ADS5927	4	-137	-134	18	21
ADS5928	2	-122	-121	22	23
ADS5930	2	-115	-114	24	25
ADS5931	4	-107	-104	26	29
ADS5932	5	-97	-93	30	34
ADS5933	3	-87	-85	35	37
ADS5934	9	-82	-74	38	46
ADS5935	4	-70	-67	47	50
ADS5936	7	-58	-52	51	57
ADS5937	2	-19	-18	58	59
ADS5938	7	-16	-10	60	66
