CPG	Meth	SD	CV	Location
1	62.08	3.24	5.21	1
2	38.75	4.53	11.69	2
3	57.67	3.50	6.07	3
4	46.24	6.93	14.98	4
5	35.91	3.60	10.01	5
6	49.13	10.15	20.65	6
7	43.59	11.54	26.48	7
8	67.08	2.30	3.44	8
9	92.79	1.54	1.66	9
10	4.76	2.93	61.49	10
11	26.22	7.23	27.57	11
12	0.16	0.22	144.03	12
13	70.79	5.42	7.65	13
14	61.47	4.78	7.78	14
15	40.39	4.42	10.95	15
16	50.69	13.04	25.72	16
17	35.38	4.29	12.14	17
18	50.54	9.17	18.15	18
19	53.66	5.45	10.16	19
20	76.89	4.40	5.72	20
21	37.75	7.84	20.76	21
22	0.12	0.34	282.43	22
23	2.81	2.03	71.99	23
24	5.03	3.13	62.23	24
25	8.11	4.26	52.54	25
26	11.58	5.24	45.29	26
27	4.78	2.90	60.60	27
28	2.27	1.73	75.98	28
29	1.99	1.33	66.73	29
30	9.51	3.67	38.64	30
31	4.35	2.54	58.44	31
32	4.91	3.19	65.10	32
33	10.01	4.29	42.82	33
34	2.50	2.18	86.96	34
35	8.75	3.33	38.10	35
36	9.66	4.26	44.14	36
37	17.02	6.76	39.71	37
38	7.37	4.70	63.68	38
39	11.10	6.11	55.03	39
40	6.15	2.94	47.86	40
41	8.45	3.85	45.54	41
42	65.86	21.86	33.18	42
43	53.33	10.80	20.26	43
44	77.93	5.05	6.49	44
45	70.43	14.63	20.77	45
46	57.02	5.78	10.13	46
47	46.11	5.77	12.52	47
48	43.35	7.99	18.44	48
49	17.50	9.44	53.93	49
50	45.83	6.73	14.69	50
51	78.97	10.37	13.13	51
52	42.04	12.15	28.90	52
53	57.89	3.86	6.67	53
54	77.38	5.95	7.68	54
55	75.86	6.52	8.60	55
56	63.12	7.08	11.22	56
57	64.16	15.48	24.12	57
58	62.13	14.17	22.81	58
59	56.41	6.75	11.97	59
60	55.29	6.04	10.93	60
61	0.03	0.07	269.94	61
62	69.62	3.06	4.39	62
63	70.35	6.20	8.81	63
64	46.73	12.96	27.74	64
65	0.29	0.43	150.08	65
66	74.93	3.75	5.01	66
67	70.76	4.45	6.29	67
