CPG	Meth	SD	CV	Location
CpG#-216	44.22558373	3.739150176	8.454722043	1
CpG#-213	56.67880544	3.847546909	6.788334509	2
CpG#-212	67.4334132	3.523801664	5.225601815	3
CpG#-211	48.02694887	7.078261054	14.73810271	4
CpG#-207	61.46819602	7.045385958	11.46183948	5
CpG#-206	60.27508562	7.388475165	12.25792562	6
CpG#-199	76.50787954	3.22417223	4.214170161	7
CpG#-198	46.15074733	3.988574769	8.642492266	8
CpG#-193	72.4095803	3.409294507	4.708347283	9
CpG#-192	60.98245225	3.966729423	6.504706316	10
CpG#-190	89.46274263	1.425346159	1.593228776	11
CpG#-189	81.27430857	1.714136049	2.109074909	12
CpG#-188	67.00338584	6.392788725	9.540993555	13
CpG#-182	42.26074681	14.97068134	35.42455463	14
CpG#-181	76.45441763	2.56681667	3.357316359	15
CpG#-180	39.72954906	6.396707636	16.10062985	16
CpG#-172	62.92874818	2.937861255	4.668551878	17
CpG#-137	62.93998918	3.165073182	5.028715802	18
CpG#-136	73.23368451	3.566962138	4.870657761	19
CpG#-135	75.37386239	2.872989497	3.811652217	20
CpG#-134	56.67623345	5.368709248	9.472593574	21
CpG#-122	74.71496674	4.061487464	5.435975737	22
CpG#-121	67.7916233	3.165315546	4.669183878	23
CpG#-115	54.40788662	5.867369651	10.78404256	24
CpG#-114	55.67764209	31.44661843	56.47979556	25
CpG#-107	2.015301218	0.754380109	37.43262307	26
CpG#-106	2.088337556	0.839388623	40.19410656	27
CpG#-105	1.693722622	0.845043875	49.89269577	28
CpG#-104	38.65081536	3.434559589	8.886124541	29
CpG#-97	39.85349436	1.805957679	4.531491424	30
CpG#-96	46.38769517	2.556594995	5.511364568	31
CpG#-95	33.51105648	2.019660177	6.026847223	32
CpG#-94	13.46553178	1.597252175	11.86178311	33
CpG#-93	98.45584687	0.898097852	0.91218336	34
CpG#-87	31.55042209	2.826617269	8.959047396	35
CpG#-86	45.77413528	2.965241674	6.477985125	36
CpG#-85	12.15831433	2.749970447	22.61802395	37
CpG#-82	27.08056669	3.218062094	11.88328934	38
CpG#-81	8.517465749	3.774615056	44.31617535	39
CpG#-80	32.36339654	4.345808468	13.42815938	40
CpG#-79	38.83333598	6.843364562	17.62239681	41
CpG#-78	17.28269195	17.86860721	103.3901852	42
CpG#-77	32.62321038	7.046129716	21.59851723	43
CpG#-76	36.43325307	9.002763189	24.71029192	44
CpG#-75	86.30821462	8.038750244	9.314003631	45
CpG#-74	47.32944242	6.80596631	14.37998413	46
CpG#-70	75.48257163	9.267412781	12.27755306	47
CpG#-69	70.91339025	9.421282127	13.28561798	48
CpG#-68	66.78600134	8.843078472	13.2409162	49
CpG#-67	69.63429063	6.442115906	9.251355687	50
CpG#-58	83.74954598	18.70067342	22.32928334	51
CpG#-57	91.6935127	7.020276246	7.656240926	52
CpG#-56	84.87927541	18.04592922	21.26070132	53
CpG#-55	83.10099968	17.4490558	20.99740781	54
CpG#-54	86.8738449	11.19835455	12.89036367	55
CpG#-53	77.69337756	10.18925034	13.11469608	56
CpG#-52	76.10772231	14.69324407	19.30585179	57
CpG#-19	56.25497009	5.025203567	8.932905944	58
CpG#-18	74.51851694	3.250546136	4.362064987	59
CpG#-16	81.98295638	1.999474057	2.438889917	60
CpG#-15	76.33969128	6.703069948	8.780582991	61
CpG#-14	83.82042305	2.455753566	2.929779494	62
CpG#-13	84.69043498	2.261464055	2.670270918	63
CpG#-12	95.57475414	0.975571206	1.020741528	64
CpG#-11	88.10823866	10.50754507	11.92572367	65
CpG#-10	95.00883693	1.028638491	1.082676648	66
